,bathrooms,bedrooms,latitude,listing_id,longitude,price,created,building_id,description,display_address,features,manager_id,street_address,interest_level
101425,1,2,40.7993,6892743,-73.9689,3200,4,8564bfb8eea92c2c0ecbeb907c0722aa,This gorgeous apartment is priced perfectly and will not last. Beautifully Renovated with updated fixtures and appliances. Fantastic Sun Exposure and comfortable living space. Great Closet Space. Conveniently located near restaurants shops bars lounges and the best this area has to offer. All transportation including express trains within minutes from your front door. For more information on this apartment and others Call/Text/E-Mail Doyin 746-685-8384 kagglemanager@renthop.com**I HAVE ACCESS TO EVERY AVAILABLE LISTING INCLUDING EXCLUSIVE LISTINGS AT BOND NEW YORK PROPERTIES. IF THIS APARTMENT IS NOT WHAT YOU ARE LOOKING FOR I HAVE THE MEANS TO FIND YOU THE RIGHT PLACE SO FEEL FREE TO E-MAIL TEXT OR CALL AT ANY TIME**Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,W 103 Street,[],e2dbe72cec121c609f89e4d7ea127995,235 W 103 Street,low
10143,1,2,40.7059,7232746,-73.8928,1650,6,4ca460e579f4c4ddb76bb2a08ea79be1,What a fantastic apartment; a tremendous 2 Bedroom RR with plenty of large Windows and gorgeous hardwood flooring throughout. There is an Eat-In Kitchen with nice cabinet space. The spacious Living Room is perfect for entertaining. This apartment is an excellent blend of style and utility with a clawfoot bathtub nice renovations and pristine original details. SORRY NO PETSSet in a charming building right by Glen Ridge Park and close to the M train this apartment is a great value!Please Text or Email Mark!<a website_redacted ,68th Avenue,[Hardwood Floors],8b48e4d747f648a3e83273faecdb5f9e,64-46 68th Avenue,high
101433,1,0,40.7074,7742631,-74.0076,3100,4,0,This spacious studio offers stainless steel kitchen appliances a safe in the apartment full pressurized walls allowing for the conversion and great closet space. The building offers a 24 hour doorman duplex gym. Landscaped roof deck laundry room and housekeeping/dry-cleaning services. ,Maiden Lane ,[Common Outdoor Space Cats Allowed Dogs Allowed Doorman Elevator Fitness Center Laundry In Building],26d69329a0f3b9abecbddd6abcb5b622,Maiden Lane ,low
10144,1,1,40.7696,7182317,-73.9567,2900,6,6fbd2252e8eca0758130d86e01f8bd42,This is a Brand New Gut Renovated 1 Bedroom w/ Washer & Dryer featuring:Queen Size BedroomEbony Hardwood FloorsRecessed LightingCarrara Marble Counter-topsBrand New Stainless Steel AppliancesEspresso cabinetsCrown and Baseboard MoldingsA Luxury Bathroom w/ intricate mosaic tile-workCONTACT LUIS FOR VIEW 824-789-3400<a website_redacted ,East 74th Street,[Laundry in Unit Dishwasher Hardwood Floors No Fee],2ad9044649cd6a842a822b1870509ad3,322 East 74th Street,low
101440,1,0,40.7297,6930429,-73.9999,2250,4,4c1e8ced783eb4f3c16af92132234f76,Beautiful studio w/ full kitchen fireplace hardwood floors exposed brick and large living area that can accommodate a bed plus extra furniture. *** Prime Greenwich Village location!Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,Sullivan Street,[Hardwood Floors],2eb205ff26404c7eaacc71b2b71198f5,224 Sullivan Street,medium
101442,1,0,40.73,6887523,-73.9864,2775,4,766241ad10fb6a35b12b03758d86cd5c,HUGE STUNNING NO FEE STUDIO IN THE HEART OF THE EAST VILLAGE Lap of Luxury in Prime East Village! True luxury living at its finest! Large studio with high end finishes great light and all the amenities of 5 star living in a prime East Village area. The apartment features a gorgeous stainless steel kitchen with a dishwasher and plenty of cabinets as it also boasts gorgeous bathroom tile work and ample closet space. EMAIL CALL TEXT ANYTIME Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,Second Avenue,[Doorman Elevator Loft Laundry in Unit Dishwasher Hardwood Floors No Fee],453d46f8113e1f2c730c2ee5a4469c71,166 Second Avenue,medium
101452,1,0,40.7562,6839796,-73.9968,2500,4,daa8602f26a65e59d7bf579b06342860,Ultra Luxury Studio Apartment features:- Spacious living Room- Granite kitchen Counter-tops- Floor-to-Ceiling Windows- Stainless Steel Appliances- Marble Bathroom- Hardwood Floors- Ample ClosetsPristine Glass Tower Building Features:- 24 Hour Doorman- Concierge- State-of-the-Art Fitness Center- Tenants Lounge- Roof Deck- Laundry Facilities- Bicycle Storage*$2518 is the net effective rent after 1 month FREE RENT and NO BROKER FEE!<a website_redacted ,West 37th Street,[Roof Deck Doorman Elevator Fitness Center Laundry in Building Laundry in Unit Dishwasher Hardwood Floors No Fee New Construction Dogs Allowed Cats Allowed],5bcd1371394f97d7aa0aad0901bae8a0,455 West 37th Street,high
101454,1,2,40.7128,6948401,-74.0059,2700,4,5138ef00289a9b9a574efcb9b2f60fc9,2 QUEEN SIZE BEDROOMSÂ with aÂ LARGE LIVING ROOMÂ +Â REAL PHOTOSÂ + GREAT LAYOUT - Big Living Room & eat-in kitchen> Living room comfortably fits a couch coffee table TV dining table & some other piecesÂ of furniture this room is spacious and a great layout which allows you to furnish it however youâ€™d like to> Kitchen with a large fridge/freezer stainless steel appliances rustic wooden cabinets- 2 Queen sized bedrooms > Enough space in the rooms for a queen sized bed a dresser & small desk- Windows in every room good natural sunlight throughout apartmentÂ complimented by the exposed brick and oak floor -Excellent layout> perfect for nurses steps from the hospital > picturesque location beside the river-walk> Within a few minutes walk of an abundance of trendy cafes restaurants shops parks museums theaters & more> Less than a 3 minute walk to closest subway-Building Amenities: Laundry room elevator 24/7 doormanSchedule an appointmentThis Will GO Fast!P, 330 east 30th street ,[Cats Allowed Dogs Allowed Doorman Elevator Laundry In Building],67e232e16c6614f1a9e543d91db326d7, 340 east 30th street ,medium
101457,1,1,40.7354,6904679,-74.0056,2689,4,b352a208c3719bc21ac217d788a8f0f9,Apartment Features:*Outdoor space*Large bedroom*Stainless steel appliances*Granite counter top*Tile bath with tub*Gushing light*Closet space*Great functional layoutSituated on a quiet tree lined street surrounded by the BEST restaurants in NYC. Close to cafes parks bakeries trains grocery stores and much much more...Call text or email Moises Gonzalez (kagglemanager@renthop.com 817-759-4571) to schedule your private showing!<a website_redacted ,Perry St.,[Hardwood Floors Outdoor Space],f7a8da66635d72bf11d493f0e0d287b3,99 Perry St.,low
10146,2.5,4,40.7506,7232627,-73.9713,6900,6,3579c55631a026859d1ffc8992149c9f,"******AVAILABLE NOW****MUST SEE***STEAL-DEAL***WILL NOT LAST LONG*****This luxurious ***OVER-SIZED FLEX 4 BEDROOMS 2.5 BATHROOMS**** Features hard-wood floors 9"" ceilings with an abundance of natural sunlight from every angle and panoramic city views super-sized kitchen is equipped with stainless steel appliances granite counter-tops and plenty of cabinet space each bedroom can fit full-to-king sized beds with windows and A/C in each room with plenty of closet space one of the bedrooms is en-suite with its own bathroom and tonz of closet space living room after flexed can easily fit an L couchbreakfast tabledinning table and lots more living-space.-Floor-plan attached***REDUCED BROKERS FEE******WILL NOT LAST LONG***HURRY BEFORE IT'S GONE**********LOCATION BENEFITS******Located in the heart of midtown in the most prestigious areas of Manhattanjust steps away from the statewide public transportation hub Grand Central Terminal and near to a vast amount of supermarketsbarspubsfine dinning restaurantslounges bankspost officespharmacies.You couldn't get a better location than this EXCLUSIVE apartment accessible to anything and everything NYC has to offer.******BUILDING AMENITIES******This luxury building has a lot to offer its tenants for its luxury living lifestyle.?Executive Resident Lounge & Lobby?24-Hour doorman & Concierge?laundry in building?Package Service?On-Site Management*****PUBLIC TRANSPORTATION*****---Grand Central Terminal---Cross-Town Buses.FOR FURTHER INFO AND TO SCHEDULE A VIEWING AT THIS EXCLUSIVE LISTINGCONTACT: NASH BENAIM CALL/TEXT: 304-782-4563 EMAIL: kagglemanager@renthop.com<a website_redacted ",East 43rd Street,[Doorman Elevator Laundry in Building Laundry in Unit Dishwasher Hardwood Floors No Fee],54bf50a3e709c0bd499f9fdca5826147,303 East 43rd Street,low
101461,1,2,40.7152,6817202,-73.9564,2400,4,a56e36e36fba80e140d0a8e68b51f48c,LOOK NO FURTHER!!Super Sweet incredibly affordable True 2br with TerraceSeparate Private BedroomsHard wood floorsHi ceilingsGreat light and spaceMASSIVE shared rear terrace (bring your BBQ)!Amazing location in the heart of the North side of Williamsburg Just two blocks to Bedford ave L!CALL MIKE 208-421-1596 FOR VIEWING TIMES!Listing Id: 2620456,williamsburg,[Private Outdoor Space ** BRING UR BBQ! * SPRAWLING 2BR HOME * HUGE REAR TERRACE * MODERN EVERYTHING * CHEF'S KITCHEN * ALL NEW **],699c325b818541f314b691b76f3238d7,214 North 5th Street ,low
101467,2,2,40.737,6836210,-73.9803,4300,4,0,FANTASTIC DUPLEX & TRUE 2 BED in the Lovely and always Popular Gramercy Park area. If you enjoy doorman service post war character and the options of laundry room on every floor then THIS IS THE ONE. Currently under renovations be the first to enjoy the polished hardwood floors large windows allowing of sunny days spacious and open layout. A Beauty nestled a hop skip and jump away from neighborhood eateries and efficient commuting. TEXT or EMAIL for Immediate showing. (PICTURES COMING SOON) ,East 22nd Street,[Doorman Multi-Level],77575eb00fc09f61d55ea99b6c9cb845,321 East 22nd Street,low
101469,3,3,40.7382,6818618,-73.9918,13995,4,2c6b7b7999605f1c4c6faa496d243289,Amazing state of the art loft three bedroom threebathroom 2500 sqft full floor smart home is now available in achic boutique landmarked building on Fifth Avenue in the heart ofthe Flatiron District. Equipped with video intercom centralheating and A/C and wireless sound with Bose speakers Lutronlighting and security system this high tech home combines stateof the art with classic architectural beauty. Solid oak floorscustom LED strip lighting spotlights and clerestory glass createwarmth and light throughout the home. The living room features 17foot ceilings and a stunning architectural views overlooking FifthAvenue. An open chef's kitchen with white Caesar stone countertopscustom white oak cabinetry and Viking range and oven Bosch andSubzero appliances also features little luxuries such as a built-inmicrowave garbage disposal and breathtaking design. The hallwayfeatures a laundry closet and three private bed and bathroomsuites. The master suite with walk-in closet and Eastern exposurefeatures an en-suite European and classic white modern style bathwith double sinks soaking tub and separate stall shower. Twoadditional bedrooms boast excellent closet space and en-suitebaths with black vanities Lacava sinks subway tiles and gorgeouslarge floor tiling. All bathrooms feature radiant heated floors.This incredible apartment is truly the epitome of luxury loftliving. Pet-friendly located next to Union Square Whole Foodsand all major train lines.,Fifth Ave,[Cats Allowed Dogs Allowed Elevator Washer/Dryer Dishwasher],b20b0430544786cf2ee7b600543e76f6,103 Fifth Ave,low
101472,1,2,40.7506,6814162,-73.9979,3199,4,fa60ec4ea9f52191ec2ef10ef9b1cc67,This mid rise building has an elevator live in superand on site laundry. The 2 bedroom apartment is on the 11th floorand has hardwood floors modern kitchen and bathroom dishwasherterrace and good closet space. Located in the low 30's it has easyaccess to trains and nightlife. no dogs please,W 30th St,[Cats Allowed Elevator Laundry In Building Dishwasher Terrace],465641627d253016ac8683943fd94ffe,370 W 30th St,low
101473,1,1,40.7768,6864980,-73.9457,2250,4,55351e3f3524ddc8f6dfda85179f48d4,Great 1 Bedroom located in the classic UES neighborhood. Great dining shopping and transportation options. A beautiful pre-war building with elevator/laundry on a tree-lined block this apartment features a renovated separate kitchen with white wood cabinets a subway-tiled bathroom LOTS of windows and light Beautiful hardwood floor. A great deal on the Upper East! Contact Nathan 978-329-9727 to schedule a private showing!!<a website_redacted ,E 88th St.,[Dishwasher Hardwood Floors],ad87505a08c0526bc5c16796f35443eb,506 E 88th St.,low
101474,1,0,40.7461,6855480,-73.9757,2700,4,8e3b8c607c3edcf3de131c24f0390179,This 500-sq.ft. studio has hardwood floors large bathroom with its own closet and kitchen loaded with new appliances Sunlight pouring in through a huge window reflects from the mint-condition hardwood floor. Steal this Midtown gem nowThe new construction doorman building with a healthclub resides on a quiet block within an easy stroll of subways and restaurants of Murray Hill and Midtown as well as the serene bank of the East River.Call text or e-mail Aaron White 857-272-0510Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,E 36 Street,[Doorman Elevator Loft],85860e99ade732afc385111568f8e602,236 E 36 Street,low
101476,1,1,40.7327,6823845,-73.9933,4175,4,511eb35637ca60e08fd12ee66080dc5f,Stunning One Bedroom Apartment Featuring: -Modern Kitchen With Stainless Steel Appliances! -Renovated Modern Bathroom-Hard Wood Floors!-High Ceilings!-Large Windows!-Tons of Light! -Laundry-Elevator-Close to the TrainFor Immediate Access & Other Inquiries Contact BryanBond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,E 10 Street,[Elevator Dishwasher Hardwood Floors],41735645e0f8f13993c42894023f8e58,25 E 10 Street,low
10148,1,1,40.7194,7128045,-73.9964,2750,6,0,GUT RENOVATED** SUNNY** 1 BR** PRIME LOWER EAST SIDEThis modern one bedroom features high ceilings hardwood floors throughout sun drenched living room queen sized bedroom separate window granite kitchen stainless steel appliances including dishwasher ample closet space and tiled bath.Excellent Lower East Side location with tons of shops restaurants bars nightlife and access to 6/J/Z/B/D trains.For showing contact Jenny at 449-593-7152 or kagglemanager@renthop.com ,Mott Street,[Pre-War Dogs Allowed Cats Allowed],c3d876f112646134464b3b5635c15549,151 Mott Street,low
101484,1,2,40.7254,6826475,-73.9873,4034,4,23e56d93ce9b69871ba8516120842e4d,AMAZING LOCATION & SPACE!! RENT SHOW IS NET EFFECTIVE WITH FREE MONTHNO BROKER FEE!!!Real bedrooms with closets!!This is a Gut Renovated 2 Bedroom w/ Washer & Dryer in UnitThis apartment features:Oversized windows wide plank ebony hardwood floors recessed lighting crown and baseboard molding exposed brick walls a spacious bathroom with mosaic tilework an open gourmet kitchen with Carrara marble counter-tops and brand new stainless steel appliances.<a website_redacted ,East 4th Street,[Pre-War Laundry in Unit Hardwood Floors No Fee],4f9b376a972b863bbfbdcdc8d717fa4e,133 East 4th Street,low
101485,1,0,40.7334,7222201,-74.0047,3350,4,75968833fe814f3a5236959790fb4984,This elegant renovated apartment is a great mix of modern amenities and classic style. The building is located in the heart of the West Village 2-3 minutes stroll to the Hudson river great shopping and restaurants. The building features include a fitness room laundry doorman elevator.This apartment has hardwood floors renovated kitchen with stainless steel appliances dishwasher.Lots of Closet Space. High Ceiling.Call/text/email for a private showing.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,Christopher Street,[Doorman Elevator Loft Laundry in Unit Dishwasher Hardwood Floors No Fee],d9039c43983f6e564b1482b273bd7b01,95 Christopher Street,low
101486,1.5,3,40.6923,6820326,-73.905,2700,4,0,Gorgeous renovated 3 bedroom / 1.5 Bath-hardwood floors-lots of light-dishwasher-large kitchen with lots of counter space-stainless steel appliances-laundry in basement Just a short walk to the Halsey L train minutes to Williamsburg and ManhattanCall to see this beautiful space!!FOR VIEWING CALL OR TEXT 277-769-9108<a website_redacted ,Schaefer St.,[Dishwasher Hardwood Floors No Fee Dogs Allowed Cats Allowed],666dedb348e43477efacf3a17211437e,282 Schaefer St.,low
101496,1,1,40.7316,6851165,-73.9839,2850,4,0,Cheapest beautiful -- one bedroom -- apartment in Greenwich village! All new renovations Hardwood flooring High ceilings Plenty of windows for natural light This area has it all! Shops Transportation Bars Restaurants Parks Cafes You name it! Call email or text Trisha today to schedule your showing. ,East 14th Street,[Pre-War],5104a9211fa037c2e775da40974e4857,328 East 14th Street,low
101497,1,0,40.7705,6881819,-73.9503,1775,4,45c480f3a0771a4e6ddf7a81790a0b07,Location: Upper East Side Large studio with high ceilings hardwood floors lots of storage separate kitchen counter space and a marble bathroom!Gas & Electric included. Landmark block. Across the street from John Jay park. Easy access to M31 East 79th street crosstown bus and 7 blocks to 6 train. Close to York Avenue grocery stores shops and nightlife!Contact Bethat anytime either by phone text or email for more information or to schedule a viewing. 891-843-3521. kagglemanager@renthop.com<a website_redacted ,East 78th Street,[Pre-War],7e22b26535b913275de0f9ff4f1d6965,503 East 78th Street,low
101498,1,4,40.7758,6939704,-73.9566,4695,4,0,Huge 4 bedroom apartment. Walk through kitchen. Great space! Hard floors in amazing location.Steps to everything that makes the UES a gem to live in. ,East 81st Street,[Pre-War Dogs Allowed Cats Allowed],b07f51899c243675f853de1d3ea187da,171 East 81st Street,low
101499,1,0,40.7467,6849151,-73.9778,2500,4,1baadc9bc38b3ccaaf9704e7442f2672,Available Immediately -- Beautiful STUDIO in Murray Hill* This location is one of the most sought after areas in Manhattan. **** Some of the features include High ceilings hardwood floors updated kitchen modern appliances lots of cabinets marble bath abundant amount of closet space bright and spacious layout and more *** Building is located on an amazing quiet tree lined block located just steps from transportation restaurants boutique shops grocery stores*** For immediate access call Bryan 449-593-7152 / kagglemanager@renthop.comBond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,E 35 Street,[Roof Deck Doorman Elevator Hardwood Floors Dogs Allowed Cats Allowed],41735645e0f8f13993c42894023f8e58,165 E 35 Street,low
1015,1,1,40.7056,7124104,-74.0162,2550,6,11e1dec9d14b1a9e528386a2504b3afc,==SUNLIT STUDIO==SPECTACULAR ROOFTOP==DOORMAN/ELEVATOR==CHICK FINISHES==Come experience this Luxurious Studio apartment that is FEATURING: Large Soundproof Windows with Breathtaking Views High ceilings Gourmet Kitchen Natural-Stone Counter tops includ,West St.,[Doorman Elevator Fitness Center Pre-War Laundry in Building Dishwasher No Fee Dogs Allowed Cats Allowed],92aa3b535f48ec05903a3b7fcdafd411,1 West St.,medium
10150,1,2,40.7967,7176059,-73.9485,3000,6,314366a99984cb8c4a34492106d71f25,Post-War High-Rise Beautiful All INCLUSIVE Rental Building located in the Upper East Side neighborhood. Building features Gorgeous Attended Lobby Laundry and Playground. The building situated across CENTAL PARK close to Cristo Rey New York High School Harlem Academy NYC Fresh Market. Museums such as Museum Of The City Of New York and El Museo Del Barrio are in the hood. For fitness lovers New York Sports Clubs is few blocks away. Only two blocks from public transportation (2 3 6)!! Call Today for Preview!! Closed to train bus shops and restaurants!! Some of the apartments feature Skyline Manhattan Gorgeous View!! Pets FRIENDLY!No fee Gorgeous Real Two Bedroom Apartment has Rich Hardwood Flooring and Large Windows providing Tremendous amount of light and gorgeous views of Upper East Side of Manhattan! The Unit features Spacious Open Kitchen with Stainless Steel Appliances including oven fridge microwave and dishwasher. All INCLUSIVE APARTMENT (including heat hot water gas and electric.) Spacious bright living room with big closet space Sunny Bedroom with huge closet space. Spotless Tile Bathroom with soaking tub. Washer and Dryer in the building.Contact Your Real Estate Expert Marina at 748-787-3374 or contact via email kagglemanager@renthop.com TO SEE THIS APARTMENT TODAYDon?t hesitate to contact me with any questions. I cover all New York Areas and will find the apartment you are looking for.<a website_redacted ,5 Ave.,[Elevator Laundry in Building Dishwasher Hardwood Floors No Fee Dogs Allowed Cats Allowed],f5467b66817daf3251b040c9ef2d6a5a,1295 5 Ave.,low
101501,1,1,40.7801,6864765,-73.9544,1700,4,92283e84587371f01961478aa906b19e,<a website_redacted ,E 87 Street,[Dogs Allowed Cats Allowed],ac888923cda3b9e4f0311267be25de9c,165 E 87 Street,medium
101503,1,2,40.7301,6851532,-73.9942,4300,4,46b5fd6e1ed6d002f5e6557f7e25bce1,CooperCooper.com :: Web ID #144065; Access 1000s of Unique Listings Online; APARTMENT FEATURES: Dishwasher Eat-In Kitchen Central A/C Wood Floors; BUILDING AMENITIES: Rental Pre-War Mid-Rise Part-Time Doorman Elevator Laundry Room Pets Allowed; AREA/NEIGHBORHOOD: Union Square Access to the 4/5/6/N/Q/R/L Access to M101 M102 M103 Trader Joe's Whole Foods Saint Mark's Historic District Think Coffee Nevada Smith's Angelica Kitchen Just Sweet Desserts; CONTACT US: For more information or to schedule a viewing call Cooper &amp; Cooper at 000-420-2751 or email: kagglemanager@renthop.com; HELPFUL LINKS: Find A C&amp;C Associate - CooperCooper.com/Associates; Search 1000s Of Apartments - CooperCooper.com/SearchRentals; Attend Our Next Buying Seminar - CooperCooper.com/BuyingSeminar; Read Reviews - CooperCooper.com/Testimonials,Waverly Place,[Doorman Elevator Dishwasher Cats Allowed Dogs Allowed Laundry in Building],6e5c10246156ae5bdcd9b487ca99d96a,11 Waverly Place,high
101509,1,0,40.7442,6839525,-73.8925,1750,4,246ab8b80acc70da30900d43bcfc913f,This beautiful ample studio is conveniently located just 2 blocks from the 74th St Roosevelt Ave 7/E/M/F/R train station; placing you a brief 15 minute train ride away from Manhattan!This transportation hub also holds the Victor Moore Bus Terminal which gives you access to the Q33 Q49 Q47 Q32 Q70 and Q53 buses; granting you an easy commute to the LaGuardia Airport and all of Queens!This gem is bursting with sunlight and boasts hardwood floors high ceilings great living space an incredible walk-in closet a pristine bathroom and a beautiful eat-in kitchen complete with granite countertops stainless steel appliances including a microwave and a dining area. The well maintained building housing this unit even features a live-in super and is pet friendly!Call/text exclusive agent David Soria at 056-504-9406 or email kagglemanager@renthop.com to schedule a private viewing today<a website_redacted ,73rd St.,[Pre-War Hardwood Floors Dogs Allowed Cats Allowed],b8f7dc94f85a3c19269a9340661fa795,41-26 73rd St.,low
10151,1,1,40.8618,7228345,-73.9268,1400,6,0,Easy Access and Easy approval. Feel free to call or email me with any questions or to schedule a private showing of this unit. I also have several other similar units in the surrounding area ,Arden Street,[Pre-War Dogs Allowed Cats Allowed],379e9c250a70372e5cb50b3edce15127,25 Arden Street,low
101510,1,1,40.7233,6910484,-73.9915,6445,4,8c5e2fcf62019d374743f0823df5507e,CooperCooper.com :: Web ID #160274; Access 1000s of Unique Listings Online; APARTMENT FEATURES: Dishwasher Granite Kitchen High Ceilings Central A/C Wood Floors; BUILDING AMENITIES: Rental Post-War Mid-Rise Doorman Concierge Elevator Gym Swimming Pool Laundry Room Roof Deck Pets Allowed Lounge Storage Room; AREA/NEIGHBORHOOD: East River Promenade Juniors Bakery Cafe Petisco Pathmark Essex Street Market Seward Park Access to the M22 M14 M09 Access to the B/D/F/J/M/Z; CONTACT US: For more information or to schedule a viewing call Cooper &amp; Cooper at 000-420-2751 or email: kagglemanager@renthop.com; HELPFUL LINKS: Find A C&amp;C Associate - CooperCooper.com/Associates; Search 1000s Of Apartments - CooperCooper.com/SearchRentals; Attend Our Next Buying Seminar - CooperCooper.com/BuyingSeminar; Read Reviews - CooperCooper.com/Testimonials,Chrystie Street,[Doorman Fitness Center Pool Elevator Storage PublicOutdoor Laundry in Unit Dishwasher Cats Allowed Dogs Allowed Laundry in Building],6e5c10246156ae5bdcd9b487ca99d96a,229 Chrystie Street,low
101511,1,1,40.7702,6927905,-73.964,2900,4,5533fdf2861a9627b1ddb2fd9b8e2b7a,LOCATION IS EVERYTHING with this large one bedroom apartment located on 71st street off PARK AVE... features updated kitchen hardwood floors high ceilings on lovely block close to subway.. UNBEATABLE VALUE!!!** Call JAMAL to view this apartment: 1-983-877-1571 **** I have thousands of apartments available all over the city I can help you find a great place with no hassle!!!,117 east 71st street,[Elevator],2ec6c71d78dd9df9046ce6899ec42de8,117 east 71st street,low
101518,2,2,40.7522,6891652,-74.0042,8257,4,a743faa6c411d3c98c0a6f96dcdb0b7e,,Eleventh Avenue,[Doorman Fitness Center Elevator Garage Cats Allowed Dogs Allowed Roof-deck Laundry Room],b7de4cb395920136663132057fa89d84,282 Eleventh Avenue,low
101520,0,0,40.8021,6910673,-73.945,2024,4,8a90584ddda243d167c810f48158efc1,SpaciousA StudioA Apartment in Modern New Development! This unit features stainless steel appliances including dishwasherA granite countertops hardwoodA floors individually controlled heating/cooling high ceilings video intercom large windows and plenty of closet space. Modern new elevator building with clean cube digital doormanA service laundry facility and bicycle storage available. Rent includes heat hot water and cooking gas. A newA rent stabilized studio located on 5th Avenue!Rent Stabilized: Maximum Income Cap $111125 Maximum 1 (One) OccupantCall 747-575-4675 or Email kagglemanager@renthop.com for more info and to schedule a viewingOpen House: Tuesdays and Thursdays 6 pmA - 8 pm Saturdays 12 pm - 2 pmPlease contact the super Gustavo at (747-575-4675 for access,1465 Fifth Avenue,[WiFi Access Live-in Super Laundry in Building No Fee Exclusive Elevator],9df32cb8dda19d3222d66e69e258616b,1465 Fifth Avenue,low
101523,1,2,40.7765,6864837,-73.9571,2950,4,a068b783287190d47d1564ab4d898675,Great Location Around the Corner from 86 St Express 2/3 Trains!!!Hardwood Floors and High CeilingCall or email Lucas for an exclusive showing of this and many more listings in NYC.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,E 82 Street,[Hardwood Floors],ffd7307e4924587b30ec014a95db1362,158 E 82 Street,low
101525,1,3,40.7643,6913288,-73.9905,4495,4,7d0a8a49b80d9329a3098b15ac8fd1bc,***Amazing 3 Bedroom*** This apartment just hit the market!!!Apartment features: -sun drenched apartment - modern appliances - great space - freshly tiled bathroom - polished hardwood flooring For immediate viewing contact Nicoletta 449-593-7152 anytime!<a website_redacted ,West 50th Street,[Laundry in Unit Dishwasher Hardwood Floors No Fee Dogs Allowed Cats Allowed],5239c98c3c2228c0369842750684054d,439 West 50th Street,medium
101528,2,3,40.7701,6865192,-73.955,5300,4,8d83f6be6675419b19a6fc29a6ce6cee,+ This is a 3 Bedrooms 2 Full Baths apartment in a well-maintained Upper East Side building! NO FEE and 1 MONTH FREE as well!+ Extensive Floor to Ceiling Gut Renovation! Brand New and Never Lived-In!+ Featuring Polished Ebony Hardw,E 75 Street,[Laundry in Unit Dishwasher Hardwood Floors No Fee],ffd7307e4924587b30ec014a95db1362,339 E 75 Street,low
10153,1,2,40.73,7150096,-73.9804,3695,6,e473a12c4201852311efb5d5aebb5519, We don't have a description for this building yet.Please contact If interestedOrFor all listings visit our website www.NYCRentalMarket.com,Avenue A,[Cats Allowed Dogs Allowed],b209e2c4384a64cc307c26759ee0c651,218 Avenue A,low
101530,2,3,40.7423,6863935,-73.9995,4950,4,a08f6ef01ec04da721f176b2b3d6776d,Beautifully renovated TRUE 3 BEDROOM unit in Chelsea BEST DEAL. Great natural light. Separate kitchen features marble counter tops. Spacious marble bathroom and building features an elevator/laundry. Conveniently located near the A C E 1 2 3 B D F M and L subway lines. Short walk to Madison Square Union Square Hudson River Park and the High Line. Easy commute to NYU New School and FIT. Contact Nathan 978-329-9727 to schedule a private showing!!<a website_redacted ,West 19th Street,[Dishwasher Hardwood Floors],ad87505a08c0526bc5c16796f35443eb,264 West 19th Street,low
101531,1,2,40.7595,6842869,-73.9887,2895,4,99c7d3dd1e1ecbfbc6930ade3119f703,"THE HEART OF NYC- THE CENTER OF ATTENTION- THE LUXURY OF CONVENIENCE NO MATTER WHAT DIRECTION YOU TAKE!BEAUTIFUL MASSIVE POST WAR BUILDING WITH 24 HOUR DOORMAN & CONCIERGE- LAUNDRY FACILITIES- STEPS FROM SUBWAY RESTAURANTSSUBWAY VALET & SHOPPING CENTERS BARS LOUNGES.Immaculate Flex 2 Bedroom:-Just Renovated-Super Sunny-Truly Massive living room with windows at the beginning of the living room and at the end (No Exaggeration) You can EASILY fit a King Size bed in the flex with dresser and still have a HUGE living room. -Just Renovated Granite kitchen with stainless steel appliances.-Classy Trump Style bathroom with floor to ceiling Italian Marble.-SPRAWLING Bedroom with tons of closet space.-Tons of Storage space all over the apartment.-Gas Water Heat & Electric ALL INCLUDED (You can even control it)TO SECURE A PRIVATE VIEWING CONTACT AFIK EMAIL: kagglemanager@renthop.com CELL: 056-851-9308 NOT WHAT YOUR LOOKING FOR? STRESS NO MORE! WITH ACCESS TO ALL NYC LISTINGS I WILL WORK 24/7 TO FIND YOU THE APARTMENT YOU CAN FINALLY CALL ""HOME""! CALL/TEXT/EMAIL ANYTIME ANY DAY!<a website_redacted ",W 45 St.,[Dining Room Doorman Elevator Laundry in Building Dishwasher Hardwood Floors No Fee],cc2ec89609836a875608c52109dcb5ea,301 W 45 St.,low
101532,1,0,40.7456,6846674,-73.9797,3150,4,9174b75c0cd978eb0e5aa93afbad754b,,East 33rd Street,[Doorman Elevator Cats Allowed Dogs Allowed Laundry Room],62b685cc0d876c3a1a51d63a0d6a8082,141 East 33RD Street,low
